Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
1,squid,Oversampling_False,RandomForest,0.7696078431372547,0.02941176470588235,0.02941176470588235,0.02941176470588235,0.01675353685778109,0.9705882352941176,0.9873417721518988,0.012658227848101267,34,1
2,squid,Oversampling_False,RandomForest,0.5564270560339449,0.0,0.0,0.0,-0.00048452381668967796,1.0,0.9999251216772744,7.487832272557094e-05,42,0
3,squid,Oversampling_False,RandomForest,0.4913640097769754,0.0,0.0,0.0,-0.004008637384695962,1.0,0.9991277802006105,0.0008722197993894462,43,0
4,squid,Oversampling_False,RandomForest,0.549153971028971,0.0,0.0,0.0,-0.0009982533369286956,1.0,0.9995004995004995,0.0004995004995004995,8,0
5,squid,Oversampling_False,RandomForest,0.47370936902485655,0.0,0.0,0.0,-0.002390057361376673,1.0,0.9976099426386233,0.002390057361376673,5,0
6,squid,Oversampling_False,RandomForest,0.5538889297626054,0.0,0.0,0.0,-0.00039209930706242743,1.0,0.9999019030802433,9.809691975671964e-05,16,0
7,squid,Oversampling_False,RandomForest,0.26259469696969695,0.0,0.0,0.0,-0.0015134326813422102,1.0,0.9992424242424243,0.0007575757575757576,4,0
8,squid,Oversampling_False,RandomForest,0.984047019311503,0.0,0.0,0.0,-0.0008396305625524769,1.0,0.9991603694374476,0.0008396305625524769,1,0
9,squid,Oversampling_False,RandomForest,0.6608614232209737,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
10,squid,Oversampling_False,RandomForest,0.4782572266443234,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
11,squid,Oversampling_False,RandomForest,0.5474642149717832,0.0,0.0,0.0,-0.001746019846390551,1.0,0.9989909182643796,0.0010090817356205853,9,0
12,squid,Oversampling_False,RandomForest,0.5006910850034554,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
13,squid,Oversampling_False,RandomForest,0.5010235414534289,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
14,squid,Oversampling_False,RandomForest,0.4715911159657747,0.0,0.0,0.0,-0.005143446510625659,1.0,0.9983615510649918,0.0016384489350081922,30,0
15,squid,Oversampling_False,RandomForest,0.012422360248447228,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_False,RandomForest,0.5038008955534728,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
17,squid,Oversampling_False,RandomForest,0.7479674796747967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
18,squid,Oversampling_False,RandomForest,0.4947234352256186,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
19,squid,Oversampling_False,RandomForest,0.4992838386249701,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
20,squid,Oversampling_False,RandomForest,0.5429698750072001,0.0,0.0,0.0,-0.0015519950456093024,1.0,0.9994815966822188,0.0005184033177812338,9,0
21,squid,Oversampling_False,RandomForest,0.5574796361258101,0.0,0.0,0.0,-0.004310194681289616,1.0,0.9986919555264879,0.0013080444735120995,22,0
22,squid,Oversampling_False,RandomForest,0.5046540490226497,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
23,squid,Oversampling_False,RandomForest,0.35558780841799703,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
24,squid,Oversampling_False,RandomForest,0.9983525535420099,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
25,squid,Oversampling_False,RandomForest,0.5546093027167969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
26,squid,Oversampling_False,RandomForest,0.5924345295829294,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
27,squid,Oversampling_False,RandomForest,0.4259518259518259,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
28,squid,Oversampling_False,RandomForest,0.8207053072625697,0.0,0.0,0.0,-0.0006045552925221335,1.0,0.9996508379888269,0.0003491620111731843,3,0
29,squid,Oversampling_False,RandomForest,0.4903381642512077,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
30,squid,Oversampling_False,RandomForest,0.6165964278547059,0.0,0.0,0.0,-0.002431559438257244,1.0,0.9992641648270787,0.0007358351729212656,11,0
31,squid,Oversampling_False,RandomForest,0.5096737894150958,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31,0
32,squid,Oversampling_False,RandomForest,0.5004084967320261,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,squid,Oversampling_False,GradientBoost,0.7342505471693855,0.07865168539325842,0.04861111111111112,0.20588235294117646,0.07612913953919188,0.7941176470588235,0.9474491752972766,0.05255082470272344,34,7
2,squid,Oversampling_False,GradientBoost,0.6578827262840741,0.07017543859649122,0.13333333333333333,0.047619047619047616,0.07797428601997045,0.9523809523809522,0.9990265818045675,0.0009734181954324223,42,2
3,squid,Oversampling_False,GradientBoost,0.6356961023945477,0.0,0.0,0.0,-0.005671499825361812,1.0,0.9982555604012211,0.0017444395987788923,43,0
4,squid,Oversampling_False,GradientBoost,0.6436844405594405,0.0,0.0,0.0,-0.0012227581278663237,1.0,0.9992507492507492,0.0007492507492507493,8,0
5,squid,Oversampling_False,GradientBoost,0.43589866156787765,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
6,squid,Oversampling_False,GradientBoost,0.4788601137924269,0.0,0.0,0.0,-0.0010377022380234338,1.0,0.9993133215617029,0.0006866784382970375,16,0
7,squid,Oversampling_False,GradientBoost,0.48333333333333334,0.0,0.0,0.0,-0.002141126370299068,1.0,0.9984848484848485,0.0015151515151515152,4,0
8,squid,Oversampling_False,GradientBoost,0.9613769941225861,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
9,squid,Oversampling_False,GradientBoost,0.6468164794007489,0.2857142857142857,1.0,0.16666666666666663,0.4071063349669284,0.8333333333333335,1.0,0.0,6,1
10,squid,Oversampling_False,GradientBoost,0.5131266582879487,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
11,squid,Oversampling_False,GradientBoost,0.5181447845423626,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
12,squid,Oversampling_False,GradientBoost,0.4898064961990325,0.0,0.0,0.0,-0.0003455425017277125,1.0,0.9996544574982722,0.0003455425017277125,1,0
13,squid,Oversampling_False,GradientBoost,0.4984646878198567,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
14,squid,Oversampling_False,GradientBoost,0.5045694520298563,0.0,0.0,0.0,-0.005143446510625659,1.0,0.9983615510649918,0.0016384489350081922,30,0
15,squid,Oversampling_False,GradientBoost,0.4937888198757764,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_False,GradientBoost,0.4948453608247423,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
17,squid,Oversampling_False,GradientBoost,0.7434959349593496,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
18,squid,Oversampling_False,GradientBoost,0.4926310043668122,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
19,squid,Oversampling_False,GradientBoost,0.516722779693944,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
20,squid,Oversampling_False,GradientBoost,0.5356546281896205,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
21,squid,Oversampling_False,GradientBoost,0.7820173613175575,0.08,0.33333333333333326,0.045454545454545456,0.11881335651262256,0.9545454545454546,0.9986919555264879,0.0013080444735120995,22,1
22,squid,Oversampling_False,GradientBoost,0.5656996587030717,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
23,squid,Oversampling_False,GradientBoost,0.33859746123897067,0.0,0.0,0.0,-0.008574037675613998,1.0,0.9927431059506531,0.007256894049346879,21,0
24,squid,Oversampling_False,GradientBoost,0.9917627677100495,0.0,0.0,0.0,-0.0016474464579901156,1.0,0.9983525535420099,0.0016474464579901156,1,0
25,squid,Oversampling_False,GradientBoost,0.6462065775086213,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
26,squid,Oversampling_False,GradientBoost,0.6761396702230844,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
27,squid,Oversampling_False,GradientBoost,0.6820512820512821,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
28,squid,Oversampling_False,GradientBoost,0.818959497206704,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
29,squid,Oversampling_False,GradientBoost,0.5240395675178283,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
30,squid,Oversampling_False,GradientBoost,0.6142885811759984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
31,squid,Oversampling_False,GradientBoost,0.5049367180504803,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31,0
32,squid,Oversampling_False,GradientBoost,0.46078431372549017,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,squid,Oversampling_False,XGBoost,0.7307080484667975,0.047619047619047616,0.125,0.02941176470588235,0.05482576037177597,0.9705882352941176,0.9973149213655543,0.002685078634445723,34,1
2,squid,Oversampling_False,XGBoost,0.5887709258169758,0.04347826086956521,0.25,0.023809523809523808,0.07631527877235189,0.9761904761904762,0.9997753650318234,0.00022463496817671285,42,1
3,squid,Oversampling_False,XGBoost,0.6548291564823171,0.04347826086956522,0.33333333333333326,0.023255813953488372,0.08401330722305406,0.9767441860465115,0.9991277802006105,0.0008722197993894462,43,1
4,squid,Oversampling_False,XGBoost,0.6463068181818181,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8,0
5,squid,Oversampling_False,XGBoost,0.5940726577437858,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
6,squid,Oversampling_False,XGBoost,0.5314032764371199,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16,0
7,squid,Oversampling_False,XGBoost,0.4785984848484849,0.0,0.0,0.0,-0.0015134326813422102,1.0,0.9992424242424243,0.0007575757575757576,4,0
8,squid,Oversampling_False,XGBoost,0.9832073887489504,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
9,squid,Oversampling_False,XGBoost,0.6584269662921349,0.0,0.0,0.0,-0.0027445370896646854,1.0,0.998876404494382,0.0011235955056179776,6,0
10,squid,Oversampling_False,XGBoost,0.5120793185309315,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
11,squid,Oversampling_False,XGBoost,0.4087528497215682,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
12,squid,Oversampling_False,XGBoost,0.48427781617138904,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
13,squid,Oversampling_False,XGBoost,0.49897645854657113,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
14,squid,Oversampling_False,XGBoost,0.4614873475332241,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30,0
15,squid,Oversampling_False,XGBoost,0.4875776397515528,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_False,XGBoost,0.5006248047485161,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
17,squid,Oversampling_False,XGBoost,0.24227642276422764,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
18,squid,Oversampling_False,XGBoost,0.6535662299854439,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
19,squid,Oversampling_False,XGBoost,0.544089199134021,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
20,squid,Oversampling_False,XGBoost,0.5260929669949888,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
21,squid,Oversampling_False,XGBoost,0.6536506332124383,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22,0
22,squid,Oversampling_False,XGBoost,0.6494725411107665,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
23,squid,Oversampling_False,XGBoost,0.34399981569792887,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
24,squid,Oversampling_False,XGBoost,0.9950576606260297,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
25,squid,Oversampling_False,XGBoost,0.5887585162755489,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
26,squid,Oversampling_False,XGBoost,0.5764791464597478,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
27,squid,Oversampling_False,XGBoost,0.6508158508158508,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
28,squid,Oversampling_False,XGBoost,0.8118598696461824,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
29,squid,Oversampling_False,XGBoost,0.5599551414768806,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
30,squid,Oversampling_False,XGBoost,0.6480366579704326,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
31,squid,Oversampling_False,XGBoost,0.5108716695302857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31,0
32,squid,Oversampling_False,XGBoost,0.4673202614379085,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,squid,Oversampling_False,FCN,0.5751979199458999,0.028446389496717725,0.014484679665738161,0.7878787878787878,0.02562070767660883,0.2121212121212121,0.3193535975375144,0.6806464024624855,33,26
2,squid,Oversampling_False,FCN,0.6857663790827286,0.028921023359288096,0.015169194865810968,0.30952380952380953,0.056266892357878844,0.6904761904761905,0.9367600779259704,0.06323992207402968,42,13
3,squid,Oversampling_False,FCN,0.5490062314177493,0.033444816053511704,0.018018018018018018,0.23255813953488372,-0.0019145042634088035,0.7674418604651163,0.76138353765324,0.23861646234676004,43,10
4,squid,Oversampling_False,FCN,0.6541614518147685,0.013422818791946307,0.0070921985815602835,0.125,0.02179308800633734,0.875,0.9649561952440551,0.03504380475594493,8,1
5,squid,Oversampling_False,FCN,0.7018722995679308,0.006825938566552902,0.003472222222222222,0.2,0.008818868611731017,0.8,0.8622179548727796,0.13778204512722037,5,1
6,squid,Oversampling_False,FCN,0.46929772890896,0.0,0.0,0.0,-0.007792699369453875,1.0,0.9603377184370704,0.03966228156292951,15,0
7,squid,Oversampling_False,FCN,0.8424866514111365,0.03278688524590164,0.01694915254237288,0.5,0.07929248340662941,0.5,0.9115179252479024,0.08848207475209763,4,2
8,squid,Oversampling_False,FCN,0.4043993231810491,0.0,0.0,0.0,-0.005981552923747525,1.0,0.9593908629441624,0.04060913705583756,1,0
9,squid,Oversampling_False,FCN,0.8612244897959184,0.03619909502262444,0.018518518518518517,0.8,0.09761975760984531,0.2,0.7596371882086168,0.24036281179138322,5,4
10,squid,Oversampling_False,FCN,0.3927729110512129,0.0,0.0,0.0,-0.014064854804515406,1.0,0.9840801886792453,0.015919811320754717,21,0
11,squid,Oversampling_False,FCN,0.5161381016644173,0.00881057268722467,0.0045871559633027525,0.1111111111111111,0.007987332298086026,0.8888888888888888,0.9267881241565452,0.07321187584345479,9,1
12,squid,Oversampling_False,FCN,0.29566724436741765,0.0,0.0,0.0,-0.001252365093946884,1.0,0.9954939341421144,0.004506065857885615,1,0
13,squid,Oversampling_False,FCN,0.45768833849329205,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
14,squid,Oversampling_False,FCN,0.520023783388218,0.03846153846153846,0.045454545454545456,0.03333333333333333,0.02540999364591111,0.9666666666666667,0.9884742041712404,0.011525795828759604,30,1
15,squid,Oversampling_False,FCN,0.9637795275590552,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_False,FCN,0.4311372549019608,0.0,0.0,0.0,-0.009976697352080737,1.0,0.9769411764705882,0.023058823529411764,9,0
17,squid,Oversampling_False,FCN,0.9324546952224052,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
18,squid,Oversampling_False,FCN,0.838846012495406,0.0,0.0,0.0,-0.0060355111916136125,1.0,0.9944873208379272,0.005512679162072767,6,0
19,squid,Oversampling_False,FCN,0.5657851988646079,0.046511627906976744,0.04166666666666666,0.05263157894736842,0.01697272575388875,0.9473684210526315,0.966374269005848,0.033625730994152045,57,3
20,squid,Oversampling_False,FCN,0.5606192129629629,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10694444444444445,0.8888888888888888,0.9958333333333332,0.004166666666666667,9,1
21,squid,Oversampling_False,FCN,0.7817882775119618,0.12345679012345677,0.08474576271186439,0.22727272727272727,0.11853969294988005,0.7727272727272727,0.9644736842105263,0.035526315789473684,22,5
22,squid,Oversampling_False,FCN,0.7032871972318339,0.0,0.0,0.0,-0.005428964854426912,1.0,0.9982698961937716,0.0017301038062283738,10,0
23,squid,Oversampling_False,FCN,0.6633694294044148,0.06504065040650406,0.0392156862745098,0.19047619047619047,0.06613492601349935,0.8095238095238095,0.9523809523809522,0.047619047619047616,21,4
24,squid,Oversampling_False,FCN,0.862876254180602,0.0,0.0,0.0,-0.005328337930804374,1.0,0.9832775919732442,0.016722408026755852,1,0
25,squid,Oversampling_False,FCN,0.6913668742439855,0.0,0.0,0.0,-0.009392083468765963,1.0,0.9931454683929931,0.006854531607006854,17,0
26,squid,Oversampling_False,FCN,0.6107160253287871,0.0,0.0,0.0,-0.004503949224331939,1.0,0.9917194349732099,0.008280565026790063,5,0
27,squid,Oversampling_False,FCN,0.7374350086655113,0.13333333333333333,0.08,0.4,0.1484710962816266,0.6,0.9202772963604854,0.07972270363951472,10,4
28,squid,Oversampling_False,FCN,0.802918855808523,0.0,0.0,0.0,-0.0031059726025563154,1.0,0.990893169877408,0.009106830122591943,3,0
29,squid,Oversampling_False,FCN,0.728866932455076,0.03636363636363637,0.021739130434782608,0.1111111111111111,0.039175190288789026,0.8888888888888888,0.9765990639625585,0.0234009360374415,9,1
30,squid,Oversampling_False,FCN,0.7336700336700337,0.0625,0.03529411764705882,0.2727272727272727,0.07843983958082078,0.7272727272727273,0.9392592592592592,0.06074074074074074,11,3
31,squid,Oversampling_False,FCN,0.6361710393725643,0.03636363636363637,0.04166666666666666,0.03225806451612903,0.026788408033319354,0.967741935483871,0.9913436206247649,0.008656379375235227,31,1
32,squid,Oversampling_False,FCN,0.5096073517126148,0.18181818181818182,0.125,0.33333333333333326,0.19460393613265434,0.6666666666666665,0.9824561403508771,0.017543859649122806,3,1
1,squid,Oversampling_False,ResNet,0.6451140881691093,0.03125000000000001,0.015918135304150087,0.8484848484848484,0.043120763239465044,0.15151515151515152,0.3339746056175452,0.6660253943824547,33,28
2,squid,Oversampling_False,ResNet,0.6905207909628708,0.02973240832507433,0.015511892450879007,0.35714285714285715,0.06174290423359806,0.6428571428571429,0.9286677656226585,0.07133223437734153,42,15
3,squid,Oversampling_False,ResNet,0.5656946198020608,0.03654485049833887,0.01967799642218247,0.2558139534883721,0.005007204011701597,0.7441860465116279,0.7600700525394045,0.23992994746059546,43,11
4,squid,Oversampling_False,ResNet,0.7241864831038799,0.013986013986013986,0.007407407407407408,0.125,0.022626392318855163,0.875,0.9664580725907385,0.033541927409261575,8,1
5,squid,Oversampling_False,ResNet,0.7512241958713395,0.011594202898550727,0.0058823529411764705,0.4,0.03147102083884111,0.6,0.8377340374459914,0.16226596255400863,5,2
6,squid,Oversampling_False,ResNet,0.46543949211335817,0.0,0.0,0.0,-0.00812810310880625,1.0,0.9569998036520715,0.04300019634792853,15,0
7,squid,Oversampling_False,ResNet,0.8386727688787186,0.03361344537815126,0.017391304347826087,0.5,0.08066568927626032,0.5,0.9138062547673532,0.08619374523264683,4,2
8,squid,Oversampling_False,ResNet,0.46446700507614214,0.0,0.0,0.0,-0.00648370605110856,1.0,0.9526226734348562,0.047377326565143825,1,0
9,squid,Oversampling_False,ResNet,0.9170068027210885,0.047337278106508875,0.024390243902439025,0.8,0.1192982295569593,0.2,0.81859410430839,0.18140589569160998,5,4
10,squid,Oversampling_False,ResNet,0.4672478661275831,0.0,0.0,0.0,-0.013525911714276244,1.0,0.9852594339622641,0.01474056603773585,21,0
11,squid,Oversampling_False,ResNet,0.5029802069275753,0.013071895424836602,0.006734006734006734,0.2222222222222222,0.022478347028961135,0.7777777777777779,0.9004723346828611,0.099527665317139,9,2
12,squid,Oversampling_False,ResNet,0.4734835355285962,0.0,0.0,0.0,-0.0012998669190094684,1.0,0.9951473136915078,0.004852686308492201,1,0
13,squid,Oversampling_False,ResNet,0.4891640866873065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
14,squid,Oversampling_False,ResNet,0.6335254299304793,0.061538461538461535,0.05714285714285714,0.06666666666666667,0.045014726833154536,0.9333333333333332,0.9818880351262349,0.018111964873765093,30,2
15,squid,Oversampling_False,ResNet,0.06141732283464563,0.0,0.0,0.0,-0.005503151456571706,1.0,0.9811023622047244,0.01889763779527559,1,0
16,squid,Oversampling_False,ResNet,0.5050196078431373,0.0,0.0,0.0,-0.0066421116415507145,1.0,0.9896470588235294,0.010352941176470589,9,0
17,squid,Oversampling_False,ResNet,0.11696869851729819,0.0,0.0,0.0,-0.0036960003234976168,1.0,0.9917627677100495,0.008237232289950576,1,0
18,squid,Oversampling_False,ResNet,0.7409040793825798,0.0,0.0,0.0,-0.0026932369396793967,1.0,0.9988974641675854,0.0011025358324145535,6,0
19,squid,Oversampling_False,ResNet,0.6260729797202558,0.1037037037037037,0.08974358974358974,0.12280701754385964,0.07579229564269807,0.8771929824561403,0.9653996101364523,0.034600389863547756,57,7
20,squid,Oversampling_False,ResNet,0.603443287037037,0.09523809523809526,0.08333333333333331,0.1111111111111111,0.09133482421548117,0.8888888888888888,0.9942708333333333,0.005729166666666666,9,1
21,squid,Oversampling_False,ResNet,0.8506578947368422,0.13725490196078433,0.0875,0.3181818181818182,0.14445356755362926,0.6818181818181818,0.9519736842105263,0.04802631578947368,22,7
22,squid,Oversampling_False,ResNet,0.5708477508650519,0.0,0.0,0.0,-0.007684263886370062,1.0,0.9965397923875432,0.0034602076124567475,10,0
23,squid,Oversampling_False,ResNet,0.770847794900273,0.1346153846153846,0.08433734939759036,0.33333333333333326,0.15139010231793756,0.6666666666666665,0.9630709426627795,0.0369290573372206,21,7
24,squid,Oversampling_False,ResNet,0.9598662207357859,0.0,0.0,0.0,-0.005593157996747819,1.0,0.9816053511705686,0.01839464882943144,1,0
25,squid,Oversampling_False,ResNet,0.43792840822543794,0.0,0.0,0.0,-0.01173621807900697,1.0,0.9893373952779894,0.010662604722010662,17,0
26,squid,Oversampling_False,ResNet,0.7610326351680468,0.08000000000000002,0.05,0.2,0.09572296072641678,0.8,0.990745250852411,0.009254749147588894,5,1
27,squid,Oversampling_False,ResNet,0.8244367417677643,0.13043478260869565,0.08333333333333331,0.3,0.13095532987951278,0.7,0.9428076256499134,0.05719237435008666,10,3
28,squid,Oversampling_False,ResNet,0.6952714535901926,0.0625,0.03278688524590164,0.6666666666666665,0.14473908935313742,0.33333333333333326,0.9793345008756568,0.020665499124343255,3,2
29,squid,Oversampling_False,ResNet,0.775495464263015,0.0909090909090909,0.05714285714285714,0.2222222222222222,0.104695355252686,0.7777777777777779,0.9828393135725428,0.0171606864274571,9,2
30,squid,Oversampling_False,ResNet,0.8266329966329967,0.13513513513513514,0.07936507936507936,0.45454545454545453,0.17539309743496242,0.5454545454545454,0.9570370370370369,0.04296296296296296,11,5
31,squid,Oversampling_False,ResNet,0.7600920271467942,0.06349206349206349,0.0625,0.06451612903225806,0.05239681598257454,0.9354838709677419,0.988709070380128,0.011290929619872037,31,2
32,squid,Oversampling_False,ResNet,0.6917293233082707,0.0,0.0,0.0,-0.01154315830543027,1.0,0.9824561403508771,0.017543859649122806,3,0
